Device-A, Port-1, no shutdown
Device-A, Port-1, ip address IP-Address-1
Device-A, Port-1, ip address IP-Address-2
Device-A, Port-1, ip address IP-Address-3
Device-A, Port-1, ip address IP-Address-4
Device-A, Port-1, ip address IP-Address-5
Device-A, Port-1, ip address IP-Address-6
Device-A, Port-1, ip address IP-Address-7
Device-A, Port-1, ip address IP-Address-8
Device-A, Port-1, ip address IP-Address-9
Device-A, Port-1, ip address IP-Address-10
Device-A, Port-1, ip address IP-Address-11
Device-A, Port-1, ip address IP-Address-12
Device-A, Port-1, ip address IP-Address-13
Device-A, Port-1, ip address IP-Address-14
Device-A, Port-1, ip address IP-Address-15
Device-A, Port-1, ip address IP-Address-16
Device-A, Port-1, ip address IP-Address-17
Device-A, Port-1, ip address IP-Address-18
Device-A, Port-1, ip address IP-Address-19
Device-A, Port-1, ip address IP-Address-20
Device-A, Port-1, ip address IP-Address-21
Device-A, Port-1, ip address IP-Address-22
Device-A, Port-1, ip address IP-Address-23
Device-A, Port-1, ip address IP-Address-24
Device-A, Port-1, ip address IP-Address-25
Device-A, Port-1, ip address IP-Address-26
Device-A, Port-1, ip address IP-Address-27
Device-A, Port-1, ip address IP-Address-28
Device-A, Port-1, ip address IP-Address-29
Device-A, Port-1, ip address IP-Address-30
Device-A, Port-1, ip address IP-Address-31
Device-A, Port-1, ip address IP-Address-32
Device-A, Port-1, ip address IP-Address-33
Device-A, Port-1, ip address IP-Address-34
Device-A, Port-1, ip address IP-Address-35
Device-A, Port-1, ip address IP-Address-36
Device-A, Port-1, ip address IP-Address-37
Device-A, Port-1, ip address IP-Address-38
Device-A, Port-1, ip address IP-Address-39
Device-A, Port-1, ip address IP-Address-40
Device-A, Port-1, ip address IP-Address-41
Device-A, Port-1, ip address IP-Address-42
Device-A, Port-1, ip address IP-Address-43
Device-A, Port-1, ip address IP-Address-44
Device-A, Port-1, ip address IP-Address-45
Device-A, Port-1, ip address IP-Address-46
Device-A, Port-1, ip address IP-Address-47
Device-A, Port-1, ip address IP-Address-48
Device-A, Port-1, ip address IP-Address-49
Device-A, Port-1, ip address IP-Address-50
Device-A, Port-1, ip address IP-Address-51
Device-A, Port-1, ip address IP-Address-52
Device-A, Port-1, ip address IP-Address-53
Device-A, Port-1, ip address IP-Address-54
Device-A, Port-1, ip address IP-Address-55
Device-A, Port-1, ip address IP-Address-56
Device-A, Port-1, ip address IP-Address-57
Device-A, Port-1, ip address IP-Address-58
Device-A, Port-1, ip address IP-Address-59
Device-A, Port-1, ip address IP-Address-60
Device-A, Port-1, ip address IP-Address-61
Device-A, Port-1, ip address IP-Address-62
Device-A, Port-1, ip address IP-Address-63
Device-A, Port-1, shutdown
Device-A, Port-1, no ip address
Device-A, Port-2, no shutdown
Device-A, Port-2, ip address IP-Address-1
Device-A, Port-2, ip address IP-Address-2
Device-A, Port-2, ip address IP-Address-3
Device-A, Port-2, ip address IP-Address-4
Device-A, Port-2, ip address IP-Address-5
Device-A, Port-2, ip address IP-Address-6
Device-A, Port-2, ip address IP-Address-7
Device-A, Port-2, ip address IP-Address-8
Device-A, Port-2, ip address IP-Address-9
Device-A, Port-2, ip address IP-Address-10
Device-A, Port-2, ip address IP-Address-11
Device-A, Port-2, ip address IP-Address-12
Device-A, Port-2, ip address IP-Address-13
Device-A, Port-2, ip address IP-Address-14
Device-A, Port-2, ip address IP-Address-15
Device-A, Port-2, ip address IP-Address-16
Device-A, Port-2, ip address IP-Address-17
Device-A, Port-2, ip address IP-Address-18
Device-A, Port-2, ip address IP-Address-19
Device-A, Port-2, ip address IP-Address-20
Device-A, Port-2, ip address IP-Address-21
Device-A, Port-2, ip address IP-Address-22
Device-A, Port-2, ip address IP-Address-23
Device-A, Port-2, ip address IP-Address-24
Device-A, Port-2, ip address IP-Address-25
Device-A, Port-2, ip address IP-Address-26
Device-A, Port-2, ip address IP-Address-27
Device-A, Port-2, ip address IP-Address-28
Device-A, Port-2, ip address IP-Address-29
Device-A, Port-2, ip address IP-Address-30
Device-A, Port-2, ip address IP-Address-31
Device-A, Port-2, ip address IP-Address-32
Device-A, Port-2, ip address IP-Address-33
Device-A, Port-2, ip address IP-Address-34
Device-A, Port-2, ip address IP-Address-35
Device-A, Port-2, ip address IP-Address-36
Device-A, Port-2, ip address IP-Address-37
Device-A, Port-2, ip address IP-Address-38
Device-A, Port-2, ip address IP-Address-39
Device-A, Port-2, ip address IP-Address-40
Device-A, Port-2, ip address IP-Address-41
Device-A, Port-2, ip address IP-Address-42
Device-A, Port-2, ip address IP-Address-43
Device-A, Port-2, ip address IP-Address-44
Device-A, Port-2, ip address IP-Address-45
Device-A, Port-2, ip address IP-Address-46
Device-A, Port-2, ip address IP-Address-47
Device-A, Port-2, ip address IP-Address-48
Device-A, Port-2, ip address IP-Address-49
Device-A, Port-2, ip address IP-Address-50
Device-A, Port-2, ip address IP-Address-51
Device-A, Port-2, ip address IP-Address-52
Device-A, Port-2, ip address IP-Address-53
Device-A, Port-2, ip address IP-Address-54
Device-A, Port-2, ip address IP-Address-55
Device-A, Port-2, ip address IP-Address-56
Device-A, Port-2, ip address IP-Address-57
Device-A, Port-2, ip address IP-Address-58
Device-A, Port-2, ip address IP-Address-59
Device-A, Port-2, ip address IP-Address-60
Device-A, Port-2, ip address IP-Address-61
Device-A, Port-2, ip address IP-Address-62
Device-A, Port-2, ip address IP-Address-63
Device-A, Port-2, shutdown
Device-A, Port-2, no ip address
Device-A, Port-3, no shutdown
Device-A, Port-3, ip address IP-Address-1
Device-A, Port-3, ip address IP-Address-2
Device-A, Port-3, ip address IP-Address-3
Device-A, Port-3, ip address IP-Address-4
Device-A, Port-3, ip address IP-Address-5
Device-A, Port-3, ip address IP-Address-6
Device-A, Port-3, ip address IP-Address-7
Device-A, Port-3, ip address IP-Address-8
Device-A, Port-3, ip address IP-Address-9
Device-A, Port-3, ip address IP-Address-10
Device-A, Port-3, ip address IP-Address-11
Device-A, Port-3, ip address IP-Address-12
Device-A, Port-3, ip address IP-Address-13
Device-A, Port-3, ip address IP-Address-14
Device-A, Port-3, ip address IP-Address-15
Device-A, Port-3, ip address IP-Address-16
Device-A, Port-3, ip address IP-Address-17
Device-A, Port-3, ip address IP-Address-18
Device-A, Port-3, ip address IP-Address-19
Device-A, Port-3, ip address IP-Address-20
Device-A, Port-3, ip address IP-Address-21
Device-A, Port-3, ip address IP-Address-22
Device-A, Port-3, ip address IP-Address-23
Device-A, Port-3, ip address IP-Address-24
Device-A, Port-3, ip address IP-Address-25
Device-A, Port-3, ip address IP-Address-26
Device-A, Port-3, ip address IP-Address-27
Device-A, Port-3, ip address IP-Address-28
Device-A, Port-3, ip address IP-Address-29
Device-A, Port-3, ip address IP-Address-30
Device-A, Port-3, ip address IP-Address-31
Device-A, Port-3, ip address IP-Address-32
Device-A, Port-3, ip address IP-Address-33
Device-A, Port-3, ip address IP-Address-34
Device-A, Port-3, ip address IP-Address-35
Device-A, Port-3, ip address IP-Address-36
Device-A, Port-3, ip address IP-Address-37
Device-A, Port-3, ip address IP-Address-38
Device-A, Port-3, ip address IP-Address-39
Device-A, Port-3, ip address IP-Address-40
Device-A, Port-3, ip address IP-Address-41
Device-A, Port-3, ip address IP-Address-42
Device-A, Port-3, ip address IP-Address-43
Device-A, Port-3, ip address IP-Address-44
Device-A, Port-3, ip address IP-Address-45
Device-A, Port-3, ip address IP-Address-46
Device-A, Port-3, ip address IP-Address-47
Device-A, Port-3, ip address IP-Address-48
Device-A, Port-3, ip address IP-Address-49
Device-A, Port-3, ip address IP-Address-50
Device-A, Port-3, ip address IP-Address-51
Device-A, Port-3, ip address IP-Address-52
Device-A, Port-3, ip address IP-Address-53
Device-A, Port-3, ip address IP-Address-54
Device-A, Port-3, ip address IP-Address-55
Device-A, Port-3, ip address IP-Address-56
Device-A, Port-3, ip address IP-Address-57
Device-A, Port-3, ip address IP-Address-58
Device-A, Port-3, ip address IP-Address-59
Device-A, Port-3, ip address IP-Address-60
Device-A, Port-3, ip address IP-Address-61
Device-A, Port-3, ip address IP-Address-62
Device-A, Port-3, ip address IP-Address-63
Device-A, Port-3, shutdown
Device-A, Port-3, no ip address
Device-A, Port-4, no shutdown
Device-A, Port-4, ip address IP-Address-1
Device-A, Port-4, ip address IP-Address-2
Device-A, Port-4, ip address IP-Address-3
Device-A, Port-4, ip address IP-Address-4
Device-A, Port-4, ip address IP-Address-5
Device-A, Port-4, ip address IP-Address-6
Device-A, Port-4, ip address IP-Address-7
Device-A, Port-4, ip address IP-Address-8
Device-A, Port-4, ip address IP-Address-9
Device-A, Port-4, ip address IP-Address-10
Device-A, Port-4, ip address IP-Address-11
Device-A, Port-4, ip address IP-Address-12
Device-A, Port-4, ip address IP-Address-13
Device-A, Port-4, ip address IP-Address-14
Device-A, Port-4, ip address IP-Address-15
Device-A, Port-4, ip address IP-Address-16
Device-A, Port-4, ip address IP-Address-17
Device-A, Port-4, ip address IP-Address-18
Device-A, Port-4, ip address IP-Address-19
Device-A, Port-4, ip address IP-Address-20
Device-A, Port-4, ip address IP-Address-21
Device-A, Port-4, ip address IP-Address-22
Device-A, Port-4, ip address IP-Address-23
Device-A, Port-4, ip address IP-Address-24
Device-A, Port-4, ip address IP-Address-25
Device-A, Port-4, ip address IP-Address-26
Device-A, Port-4, ip address IP-Address-27
Device-A, Port-4, ip address IP-Address-28
Device-A, Port-4, ip address IP-Address-29
Device-A, Port-4, ip address IP-Address-30
Device-A, Port-4, ip address IP-Address-31
Device-A, Port-4, ip address IP-Address-32
Device-A, Port-4, ip address IP-Address-33
Device-A, Port-4, ip address IP-Address-34
Device-A, Port-4, ip address IP-Address-35
Device-A, Port-4, ip address IP-Address-36
Device-A, Port-4, ip address IP-Address-37
Device-A, Port-4, ip address IP-Address-38
Device-A, Port-4, ip address IP-Address-39
Device-A, Port-4, ip address IP-Address-40
Device-A, Port-4, ip address IP-Address-41
Device-A, Port-4, ip address IP-Address-42
Device-A, Port-4, ip address IP-Address-43
Device-A, Port-4, ip address IP-Address-44
Device-A, Port-4, ip address IP-Address-45
Device-A, Port-4, ip address IP-Address-46
Device-A, Port-4, ip address IP-Address-47
Device-A, Port-4, ip address IP-Address-48
Device-A, Port-4, ip address IP-Address-49
Device-A, Port-4, ip address IP-Address-50
Device-A, Port-4, ip address IP-Address-51
Device-A, Port-4, ip address IP-Address-52
Device-A, Port-4, ip address IP-Address-53
Device-A, Port-4, ip address IP-Address-54
Device-A, Port-4, ip address IP-Address-55
Device-A, Port-4, ip address IP-Address-56
Device-A, Port-4, ip address IP-Address-57
Device-A, Port-4, ip address IP-Address-58
Device-A, Port-4, ip address IP-Address-59
Device-A, Port-4, ip address IP-Address-60
Device-A, Port-4, ip address IP-Address-61
Device-A, Port-4, ip address IP-Address-62
Device-A, Port-4, ip address IP-Address-63
Device-A, Port-4, shutdown
Device-A, Port-4, no ip address
Device-A, Port-5, no shutdown
Device-A, Port-5, ip address IP-Address-1
Device-A, Port-5, ip address IP-Address-2
Device-A, Port-5, ip address IP-Address-3
Device-A, Port-5, ip address IP-Address-4
Device-A, Port-5, ip address IP-Address-5
Device-A, Port-5, ip address IP-Address-6
Device-A, Port-5, ip address IP-Address-7
Device-A, Port-5, ip address IP-Address-8
Device-A, Port-5, ip address IP-Address-9
Device-A, Port-5, ip address IP-Address-10
Device-A, Port-5, ip address IP-Address-11
Device-A, Port-5, ip address IP-Address-12
Device-A, Port-5, ip address IP-Address-13
Device-A, Port-5, ip address IP-Address-14
Device-A, Port-5, ip address IP-Address-15
Device-A, Port-5, ip address IP-Address-16
Device-A, Port-5, ip address IP-Address-17
Device-A, Port-5, ip address IP-Address-18
Device-A, Port-5, ip address IP-Address-19
Device-A, Port-5, ip address IP-Address-20
Device-A, Port-5, ip address IP-Address-21
Device-A, Port-5, ip address IP-Address-22
Device-A, Port-5, ip address IP-Address-23
Device-A, Port-5, ip address IP-Address-24
Device-A, Port-5, ip address IP-Address-25
Device-A, Port-5, ip address IP-Address-26
Device-A, Port-5, ip address IP-Address-27
Device-A, Port-5, ip address IP-Address-28
Device-A, Port-5, ip address IP-Address-29
Device-A, Port-5, ip address IP-Address-30
Device-A, Port-5, ip address IP-Address-31
Device-A, Port-5, ip address IP-Address-32
Device-A, Port-5, ip address IP-Address-33
Device-A, Port-5, ip address IP-Address-34
Device-A, Port-5, ip address IP-Address-35
Device-A, Port-5, ip address IP-Address-36
Device-A, Port-5, ip address IP-Address-37
Device-A, Port-5, ip address IP-Address-38
Device-A, Port-5, ip address IP-Address-39
Device-A, Port-5, ip address IP-Address-40
Device-A, Port-5, ip address IP-Address-41
Device-A, Port-5, ip address IP-Address-42
Device-A, Port-5, ip address IP-Address-43
Device-A, Port-5, ip address IP-Address-44
Device-A, Port-5, ip address IP-Address-45
Device-A, Port-5, ip address IP-Address-46
Device-A, Port-5, ip address IP-Address-47
Device-A, Port-5, ip address IP-Address-48
Device-A, Port-5, ip address IP-Address-49
Device-A, Port-5, ip address IP-Address-50
Device-A, Port-5, ip address IP-Address-51
Device-A, Port-5, ip address IP-Address-52
Device-A, Port-5, ip address IP-Address-53
Device-A, Port-5, ip address IP-Address-54
Device-A, Port-5, ip address IP-Address-55
Device-A, Port-5, ip address IP-Address-56
Device-A, Port-5, ip address IP-Address-57
Device-A, Port-5, ip address IP-Address-58
Device-A, Port-5, ip address IP-Address-59
Device-A, Port-5, ip address IP-Address-60
Device-A, Port-5, ip address IP-Address-61
Device-A, Port-5, ip address IP-Address-62
Device-A, Port-5, ip address IP-Address-63
Device-A, Port-5, shutdown
Device-A, Port-5, no ip address
Device-A, Port-6, no shutdown
Device-A, Port-6, ip address IP-Address-1
Device-A, Port-6, ip address IP-Address-2
Device-A, Port-6, ip address IP-Address-3
Device-A, Port-6, ip address IP-Address-4
Device-A, Port-6, ip address IP-Address-5
Device-A, Port-6, ip address IP-Address-6
Device-A, Port-6, ip address IP-Address-7
Device-A, Port-6, ip address IP-Address-8
Device-A, Port-6, ip address IP-Address-9
Device-A, Port-6, ip address IP-Address-10
Device-A, Port-6, ip address IP-Address-11
Device-A, Port-6, ip address IP-Address-12
Device-A, Port-6, ip address IP-Address-13
Device-A, Port-6, ip address IP-Address-14
Device-A, Port-6, ip address IP-Address-15
Device-A, Port-6, ip address IP-Address-16
Device-A, Port-6, ip address IP-Address-17
Device-A, Port-6, ip address IP-Address-18
Device-A, Port-6, ip address IP-Address-19
Device-A, Port-6, ip address IP-Address-20
Device-A, Port-6, ip address IP-Address-21
Device-A, Port-6, ip address IP-Address-22
Device-A, Port-6, ip address IP-Address-23
Device-A, Port-6, ip address IP-Address-24
Device-A, Port-6, ip address IP-Address-25
Device-A, Port-6, ip address IP-Address-26
Device-A, Port-6, ip address IP-Address-27
Device-A, Port-6, ip address IP-Address-28
Device-A, Port-6, ip address IP-Address-29
Device-A, Port-6, ip address IP-Address-30
Device-A, Port-6, ip address IP-Address-31
Device-A, Port-6, ip address IP-Address-32
Device-A, Port-6, ip address IP-Address-33
Device-A, Port-6, ip address IP-Address-34
Device-A, Port-6, ip address IP-Address-35
Device-A, Port-6, ip address IP-Address-36
Device-A, Port-6, ip address IP-Address-37
Device-A, Port-6, ip address IP-Address-38
Device-A, Port-6, ip address IP-Address-39
Device-A, Port-6, ip address IP-Address-40
Device-A, Port-6, ip address IP-Address-41
Device-A, Port-6, ip address IP-Address-42
Device-A, Port-6, ip address IP-Address-43
Device-A, Port-6, ip address IP-Address-44
Device-A, Port-6, ip address IP-Address-45
Device-A, Port-6, ip address IP-Address-46
Device-A, Port-6, ip address IP-Address-47
Device-A, Port-6, ip address IP-Address-48
Device-A, Port-6, ip address IP-Address-49
Device-A, Port-6, ip address IP-Address-50
Device-A, Port-6, ip address IP-Address-51
Device-A, Port-6, ip address IP-Address-52
Device-A, Port-6, ip address IP-Address-53
Device-A, Port-6, ip address IP-Address-54
Device-A, Port-6, ip address IP-Address-55
Device-A, Port-6, ip address IP-Address-56
Device-A, Port-6, ip address IP-Address-57
Device-A, Port-6, ip address IP-Address-58
Device-A, Port-6, ip address IP-Address-59
Device-A, Port-6, ip address IP-Address-60
Device-A, Port-6, ip address IP-Address-61
Device-A, Port-6, ip address IP-Address-62
Device-A, Port-6, ip address IP-Address-63
Device-A, Port-6, shutdown
Device-A, Port-6, no ip address
Device-A, Port-7, no shutdown
Device-A, Port-7, ip address IP-Address-1
Device-A, Port-7, ip address IP-Address-2
Device-A, Port-7, ip address IP-Address-3
Device-A, Port-7, ip address IP-Address-4
Device-A, Port-7, ip address IP-Address-5
Device-A, Port-7, ip address IP-Address-6
Device-A, Port-7, ip address IP-Address-7
Device-A, Port-7, ip address IP-Address-8
Device-A, Port-7, ip address IP-Address-9
Device-A, Port-7, ip address IP-Address-10
Device-A, Port-7, ip address IP-Address-11
Device-A, Port-7, ip address IP-Address-12
Device-A, Port-7, ip address IP-Address-13
Device-A, Port-7, ip address IP-Address-14
Device-A, Port-7, ip address IP-Address-15
Device-A, Port-7, ip address IP-Address-16
Device-A, Port-7, ip address IP-Address-17
Device-A, Port-7, ip address IP-Address-18
Device-A, Port-7, ip address IP-Address-19
Device-A, Port-7, ip address IP-Address-20
Device-A, Port-7, ip address IP-Address-21
Device-A, Port-7, ip address IP-Address-22
Device-A, Port-7, ip address IP-Address-23
Device-A, Port-7, ip address IP-Address-24
Device-A, Port-7, ip address IP-Address-25
Device-A, Port-7, ip address IP-Address-26
Device-A, Port-7, ip address IP-Address-27
Device-A, Port-7, ip address IP-Address-28
Device-A, Port-7, ip address IP-Address-29
Device-A, Port-7, ip address IP-Address-30
Device-A, Port-7, ip address IP-Address-31
Device-A, Port-7, ip address IP-Address-32
Device-A, Port-7, ip address IP-Address-33
Device-A, Port-7, ip address IP-Address-34
Device-A, Port-7, ip address IP-Address-35
Device-A, Port-7, ip address IP-Address-36
Device-A, Port-7, ip address IP-Address-37
Device-A, Port-7, ip address IP-Address-38
Device-A, Port-7, ip address IP-Address-39
Device-A, Port-7, ip address IP-Address-40
Device-A, Port-7, ip address IP-Address-41
Device-A, Port-7, ip address IP-Address-42
Device-A, Port-7, ip address IP-Address-43
Device-A, Port-7, ip address IP-Address-44
Device-A, Port-7, ip address IP-Address-45
Device-A, Port-7, ip address IP-Address-46
Device-A, Port-7, ip address IP-Address-47
Device-A, Port-7, ip address IP-Address-48
Device-A, Port-7, ip address IP-Address-49
Device-A, Port-7, ip address IP-Address-50
Device-A, Port-7, ip address IP-Address-51
Device-A, Port-7, ip address IP-Address-52
Device-A, Port-7, ip address IP-Address-53
Device-A, Port-7, ip address IP-Address-54
Device-A, Port-7, ip address IP-Address-55
Device-A, Port-7, ip address IP-Address-56
Device-A, Port-7, ip address IP-Address-57
Device-A, Port-7, ip address IP-Address-58
Device-A, Port-7, ip address IP-Address-59
Device-A, Port-7, ip address IP-Address-60
Device-A, Port-7, ip address IP-Address-61
Device-A, Port-7, ip address IP-Address-62
Device-A, Port-7, ip address IP-Address-63
Device-A, Port-7, shutdown
Device-A, Port-7, no ip address
Device-A, Port-8, no shutdown
Device-A, Port-8, ip address IP-Address-1
Device-A, Port-8, ip address IP-Address-2
Device-A, Port-8, ip address IP-Address-3
Device-A, Port-8, ip address IP-Address-4
Device-A, Port-8, ip address IP-Address-5
Device-A, Port-8, ip address IP-Address-6
Device-A, Port-8, ip address IP-Address-7
Device-A, Port-8, ip address IP-Address-8
Device-A, Port-8, ip address IP-Address-9
Device-A, Port-8, ip address IP-Address-10
Device-A, Port-8, ip address IP-Address-11
Device-A, Port-8, ip address IP-Address-12
Device-A, Port-8, ip address IP-Address-13
Device-A, Port-8, ip address IP-Address-14
Device-A, Port-8, ip address IP-Address-15
Device-A, Port-8, ip address IP-Address-16
Device-A, Port-8, ip address IP-Address-17
Device-A, Port-8, ip address IP-Address-18
Device-A, Port-8, ip address IP-Address-19
Device-A, Port-8, ip address IP-Address-20
Device-A, Port-8, ip address IP-Address-21
Device-A, Port-8, ip address IP-Address-22
Device-A, Port-8, ip address IP-Address-23
Device-A, Port-8, ip address IP-Address-24
Device-A, Port-8, ip address IP-Address-25
Device-A, Port-8, ip address IP-Address-26
Device-A, Port-8, ip address IP-Address-27
Device-A, Port-8, ip address IP-Address-28
Device-A, Port-8, ip address IP-Address-29
Device-A, Port-8, ip address IP-Address-30
Device-A, Port-8, ip address IP-Address-31
Device-A, Port-8, ip address IP-Address-32
Device-A, Port-8, ip address IP-Address-33
Device-A, Port-8, ip address IP-Address-34
Device-A, Port-8, ip address IP-Address-35
Device-A, Port-8, ip address IP-Address-36
Device-A, Port-8, ip address IP-Address-37
Device-A, Port-8, ip address IP-Address-38
Device-A, Port-8, ip address IP-Address-39
Device-A, Port-8, ip address IP-Address-40
Device-A, Port-8, ip address IP-Address-41
Device-A, Port-8, ip address IP-Address-42
Device-A, Port-8, ip address IP-Address-43
Device-A, Port-8, ip address IP-Address-44
Device-A, Port-8, ip address IP-Address-45
Device-A, Port-8, ip address IP-Address-46
Device-A, Port-8, ip address IP-Address-47
Device-A, Port-8, ip address IP-Address-48
Device-A, Port-8, ip address IP-Address-49
Device-A, Port-8, ip address IP-Address-50
Device-A, Port-8, ip address IP-Address-51
Device-A, Port-8, ip address IP-Address-52
Device-A, Port-8, ip address IP-Address-53
Device-A, Port-8, ip address IP-Address-54
Device-A, Port-8, ip address IP-Address-55
Device-A, Port-8, ip address IP-Address-56
Device-A, Port-8, ip address IP-Address-57
Device-A, Port-8, ip address IP-Address-58
Device-A, Port-8, ip address IP-Address-59
Device-A, Port-8, ip address IP-Address-60
Device-A, Port-8, ip address IP-Address-61
Device-A, Port-8, ip address IP-Address-62
Device-A, Port-8, ip address IP-Address-63
Device-A, Port-8, shutdown
Device-A, Port-8, no ip address
Device-A, Port-9, no shutdown
Device-A, Port-9, ip address IP-Address-1
Device-A, Port-9, ip address IP-Address-2
Device-A, Port-9, ip address IP-Address-3
Device-A, Port-9, ip address IP-Address-4
Device-A, Port-9, ip address IP-Address-5
Device-A, Port-9, ip address IP-Address-6
Device-A, Port-9, ip address IP-Address-7
Device-A, Port-9, ip address IP-Address-8
Device-A, Port-9, ip address IP-Address-9
Device-A, Port-9, ip address IP-Address-10
Device-A, Port-9, ip address IP-Address-11
Device-A, Port-9, ip address IP-Address-12
Device-A, Port-9, ip address IP-Address-13
